gene_name	panacota	panaroo	panaroodefault	roarydefault
gene_0	KLPN_ST25810030	group_7725	group_8239	livJ_2
gene_1	KLPN_ST25810046	group_1495	group_1389	gor
gene_2	KLPN_ST25810048	group_8041	group_8770	group_2730
gene_3	KLPN_ST25810055	pdeG_1~~~pdeG_2	pdeG_1~~~pdeG_2	pdeG
gene_4	KLPN_ST25810056	ssuB_2	ssuB_2	ssuB_3
gene_5	KLPN_ST25810057	group_3229	group_3051	group_19577
gene_6	KLPN_ST25810059	group_5067	group_4818	group_11960
gene_7	KLPN_ST25810060	ybiV	ybiV	ybiV
gene_8	KLPN_ST25810061	hutU_1~~~hutU_2~~~hutU	hutU_1~~~hutU_2~~~hutU	hutU
gene_9	KLPN_ST25810062	group_2817	group_2687	kdpA
gene_10	KLPN_ST25810063	shlB	shlB	NA
gene_11	KLPN_ST25810064	ybdM	ybdM	ybdM
gene_12	KLPN_ST25810065	entH_2~~~entH_1~~~entH	entH_2~~~entH_1~~~entH	entH
gene_13	KLPN_ST25810066	betA_2~~~betA_1	betA_2~~~betA_1	betA
gene_14	KLPN_ST25810067	group_3011	group_2858	sorC_3
gene_15	KLPN_ST25810072	group_878	group_5206	maa
gene_16	KLPN_ST25810073	group_2700	group_2571	cof
gene_17	KLPN_ST25810074	group_4304	group_4075	group_19731
gene_18	KLPN_ST25810075	yhaJ_2	yhaJ_2	yhaJ_3
gene_19	KLPN_ST25810076	group_2585	group_2463	tauD
gene_20	KLPN_ST25810077	group_4380	group_4146	group_20317
gene_21	KLPN_ST25810078	lhgD~~~lhgD_2	lhgD_1~~~lhgD~~~lhgD_2	lhgD
gene_22	KLPN_ST25810079	group_6374	group_6794	group_9808
gene_23	KLPN_ST25810080	group_1722	group_1603	dxr
gene_24	KLPN_ST25810081	xcpW	xcpW	xcpW
gene_25	KLPN_ST25810082	group_4916	group_4676	group_19341
gene_26	KLPN_ST25810083	group_1603	group_1490	ftsW
gene_27	KLPN_ST25810084	group_749	group_983	oadA
gene_28	KLPN_ST25810085	creD	creD	creD
gene_29	KLPN_ST25810086	licC_1	licC_1	licC_6
gene_30	KLPN_ST25810087	group_6178	group_8753	group_7353
gene_31	KLPN_ST25810088	group_7372	group_7778	group_5167
gene_32	KLPN_ST25810089	group_6357	group_6777	group_5739
gene_33	KLPN_ST25810090	group_3288	group_3104	can_2
gene_34	KLPN_ST25810091	frlB_1	frlB_1	frlB_2
gene_35	KLPN_ST25810092	yfcJ	yfcJ	yfcJ_2
gene_36	KLPN_ST25810093	group_2238	group_2115	psd
gene_37	KLPN_ST25810094	group_1568	group_1455	dcuA
gene_38	KLPN_ST25810097	group_3643	group_3417	lexA_1
gene_39	KLPN_ST25810098	bioP	bioP	bioP
gene_40	KLPN_ST25810099	group_7702	group_8214	wecC
gene_41	KLPN_ST258100	ulaF	ulaF	ulaF
gene_42	KLPN_ST25810100	group_2876	group_2740	argB
gene_43	KLPN_ST25810101	rhaT_2~~~rhaT_1~~~rhaT	rhaT_2~~~rhaT_1~~~rhaT	rhaT
gene_44	KLPN_ST25810102	group_4818	group_4580	vapC_1
gene_45	KLPN_ST25810103	group_2158	group_2033	asnA
gene_46	KLPN_ST25810104	group_2947	group_1170	yidC
gene_47	KLPN_ST25810108	yffB	yffB	yffB
gene_48	KLPN_ST25810109	cysT	cysT	cysT
gene_49	KLPN_ST25810110	group_1732	group_1611	yycB
gene_50	KLPN_ST25810111	group_3812	group_3580	ubiX
gene_51	KLPN_ST25810112	group_7315	group_7727	nuoL
gene_52	KLPN_ST25810113	por_2	por_2	por_1
gene_53	KLPN_ST25810114	group_3363	group_3164	hxpB_1
gene_54	KLPN_ST25810116	group_177	group_259	group_4310
gene_55	KLPN_ST25810117	oxyR_2	oxyR_2	NA
gene_56	KLPN_ST25810118	group_5923	group_6337	group_11748
gene_57	KLPN_ST25810119	mepM_2	mepM_2	mepM_1
gene_58	KLPN_ST25810121	dadX	dadX	dadX
gene_59	KLPN_ST25810122	group_7752	group_8268	group_5457
gene_60	KLPN_ST25810123	pfkB_2~~~pfkB_1	pfkB_2~~~pfkB_1	pfkB
gene_61	KLPN_ST25810124	mdtH_2~~~mdtH_3	mdtH_2~~~mdtH_3	mdtH_1
gene_62	KLPN_ST25810125	mhpA_2~~~mhpA_1~~~mhpA	mhpA_2~~~mhpA_1~~~mhpA	mhpA
gene_63	KLPN_ST25810126	group_444	group_531	fdhF_1
gene_64	KLPN_ST25810127	benM_1	benM_1	benM_1
gene_65	KLPN_ST25810128	group_885	group_1113	appA
gene_66	KLPN_ST25810129	group_2445	group_2322	ydhF
gene_67	KLPN_ST25810130	frmR	frmR	frmR
gene_68	KLPN_ST25810131	group_6176	group_6600	group_9
gene_69	KLPN_ST25810132	group_7675	group_8178	group_6308
gene_70	KLPN_ST25810133	group_2492	group_2371	oxyR_4
gene_71	KLPN_ST25810134	glnM~~~tcyB	glnM~~~tcyB	group_5593
gene_72	KLPN_ST25810136	group_3244	group_3066	alsE_1
gene_73	KLPN_ST25810137	group_6705	group_7124	group_19352
gene_74	KLPN_ST25810138	group_4598	group_4368	group_19865
gene_75	KLPN_ST25810140	murQ_2~~~murQ_3	murQ_2~~~murQ_3	murQ_2
gene_76	KLPN_ST25810141	group_2516	group_2393	ugpA_2
gene_77	KLPN_ST25810146	yggP	yggP	yggP
gene_78	KLPN_ST25810147	group_6389	group_6808	group_19263
gene_79	KLPN_ST25810150	group_6184	group_6606	group_6822
gene_80	KLPN_ST25810151	group_3062	group_2903	artJ_1
